Old Tree Name Id18,Tree Species Name,Common Name,Cultivar,Genus,Species,Mature Tree Size,Tree Name: Created Date
a1iG0000004L6tqIAC,Prunus salicina - Methley,"Plum, Japanese Methley",Methley,Prunus,salicina,,2/12/2016
a1i0f000004H1IwAAK,Malus speciosa - Marilee,"Crabapple, Flowering Marilee",Marilee,Malus,speciosa,,8/30/2017
a1i0f000004GqT2AAK,Ceanothus americanus,New Jersey Tea,,Ceanothus,americanus,,5/26/2017
a1iG00000040BxRIAU,Eucommia ulmoides,"Rubber Tree, Hardy",,Eucommia,ulmoides,Large Tree,4/13/2015
a1iG00000040BxSIAU,Fagus grandifolia,"Beech, American",,Fagus,grandifolia,Large Tree,4/13/2015
a1iG00000040BxTIAU,Fagus sylvatica,"Beech, European",,Fagus,sylvatica,,4/13/2015
a1iG00000040BxUIAU,Ficus carica,"Fig, Common",,Ficus,carica,,4/13/2015
a1iG00000040BxVIAU,Ficus carica - Brown Turkey,"Fig, Common Brown Turkey",Brown Turkey,Ficus,carica,,4/13/2015
a1iG00000040BxWIAU,Ficus carica - Celeste,"Fig, Common Celeste",Celeste,Ficus,carica,,4/13/2015
a1iG00000040BxXIAU,Ficus carica - Hardy Chicago,"Fig, Common Hardy Chicago",Hardy Chicago,Ficus,carica,,4/13/2015
a1iG00000040BxYIAU,Fothergilla major,Witch Alder,,Fothergilla,major,,4/13/2015
a1iG00000040BxZIAU,Franklinia alatamaha,Franklin Tree,,Franklinia,alatamaha,,4/13/2015
a1iG00000040BxcIAE,Gaylussacia baccata,"Huckleberry, Black",,Gaylussacia,baccata,,4/13/2015
a1iG00000040BxeIAE,Ginkgo biloba - Autumn Gold,"Maidenhair Tree, Autumn Gold",Autumn Gold,Ginkgo,biloba,Large Tree,4/13/2015
a1iG00000040BxfIAE,Ginkgo biloba - Windover Gold,"Maidenhair Tree, Windover Gold",Windover Gold,Ginkgo,biloba,Large Tree,4/13/2015
a1iG00000040BxgIAE,Ginkgo biloba,Maidenhair Tree,,Ginkgo,biloba,Large Tree,4/13/2015
a1iG00000040BxhIAE,Gleditsia triacanthos,"Locust, Honey",,Gleditsia,triacanthos,Large Tree,4/13/2015
a1iG00000040BxiIAE,Gleditsia triacanthos var. inermis - Shademaster,"Locust, Honey Thornless Shademaster",Shademaster,Gleditsia,triacanthos var. inermis,,4/13/2015
a1iG00000040BxjIAE,Gleditsia triacanthos var. inermis - Skyline,"Locust, Honey Thornless Skyline",Skyline,Gleditsia,triacanthos var. inermis,,4/13/2015
a1iG00000040BxkIAE,Gleditsia triacanthos var. inermis - Street Keeper,"Locust, Honey Thornless Street Keeper",Street Keeper,Gleditsia,triacanthos var. inermis,,4/13/2015
a1iG00000040BxlIAE,Gymnocladus dioicus,"Coffeetree, Kentucky",,Gymnocladus,dioicus,Large Tree,4/13/2015
a1iG00000040BxmIAE,Gymnocladus dioicus - Espresso,"Coffeetree, Kentucky Espresso",Espresso,Gymnocladus,dioicus,Large Tree,4/13/2015
a1iG00000040BxnIAE,Halesia carolina (tetraptera),"Silverbell, Carolina",,Halesia,carolina (tetraptera),Small Tree,4/13/2015
a1iG00000040BxoIAE,Halesia carolina (tetraptera) - Arnold Pink,"Silverbell, Carolina Arnold Pink",Arnold Pink,Halesia,carolina (tetraptera),Small Tree,4/13/2015
a1iG00000040BxpIAE,Halesia monticola,"Silverbell, Mountain",,Halesia,monticola,,4/13/2015
a1iG00000040BxqIAE,Halesia monticola var. vestita,"Silverbell, Mountian Snowdrop",,Halesia,monticola var. vestita,,4/13/2015
a1iG00000040BxsIAE,Hamamelis vernalis,"Witch Hazel, Ozark",,Hamamelis,vernalis,,4/13/2015
a1iG00000040BxtIAE,Hamamelis virginiana,"Witch Hazel, Common",,Hamamelis,virginiana,,4/13/2015
a1iG00000040BxuIAE,Heptacodium miconioides,Seven Son Flower,,Heptacodium,miconioides,,4/13/2015
a1iG00000040BxvIAE,Hibiscus syriacus,Rose of Sharon,,Hibiscus,syriacus,,4/13/2015
a1iG00000040BxwIAE,Ilex verticillata,"Holly, Winterberry",,Ilex,verticillata,,4/13/2015
a1iG00000040BxyIAE,Ilex aquifolium x cornuta - Nellie R. Stevens,"Holly, Nellie R. Stevens",Nellie R. Stevens,Ilex,aquifolium x cornuta,Medium Tree,4/13/2015
a1iG00000040BxzIAE,Ilex opaca,"Holly, American",,Ilex,opaca,Medium Tree,4/13/2015
a1iG00000040By0IAE,Ilex vomitoria,"Holly, Yaupon",,Ilex,vomitoria,,4/13/2015
a1iG00000040By2IAE,Juglans nigra,"Walnut, Black",,Juglans,nigra,,4/13/2015
a1iG00000040By3IAE,Juniperus chinensis,"Juniper, Chinese",,Juniperus,chinensis,,4/13/2015
a1iG00000040By4IAE,Juniperus virginiana,"Cedar, Eastern Red",,Juniperus,virginiana,Medium Tree,4/13/2015
a1iG00000040By5IAE,Koelreuteria paniculata,"Raintree, Golden",,Koelreuteria,paniculata,,4/13/2015
a1iG00000040By6IAE,Lagerstroemia indica,Crapemyrtle,,Lagerstroemia,indica,Small Tree,4/13/2015
a1iG00000040By7IAE,Lindera benzoin,Spicebush,,Lindera,benzoin,,4/13/2015
a1iG00000040By8IAE,Liquidambar styraciflua,"Sweetgum, American",,Liquidambar,styraciflua,Large Tree,4/13/2015
a1iG00000040By9IAE,Liquidambar styraciflua - Happidaze,"Sweetgum, American Happidaze",Happidaze,Liquidambar,styraciflua,Large Tree,4/13/2015
a1iG00000040ByAIAU,Liquidambar styraciflua - Moraine,"Sweetgum, American Moraine",Moraine,Liquidambar,styraciflua,Large Tree,4/13/2015
a1iG00000040ByBIAU,Liquidambar styraciflua - Worplesdon,"Sweetgum, American Worplesdon",Worplesdon,Liquidambar,styraciflua,Large Tree,4/13/2015
a1iG00000040ByCIAU,Liquidambar styraciflua - Rotundiloba,"Sweetgum, American Rotundiloba",Rotundiloba,Liquidambar,styraciflua,Large Tree,4/13/2015
a1iG00000040ByDIAU,Liriodendron tulipifera,Tuliptree,,Liriodendron,tulipifera,Large Tree,4/13/2015
a1iG00000040ByFIAU,Maclura pomifera - White Shield,"Osage Orange, Whiteshield",White Shield,Maclura,pomifera,Large Tree,4/13/2015
a1iG00000040ByHIAU,Magnolia acuminata,Cucumber Tree,,Magnolia,acuminata,,4/13/2015
a1iG00000040ByJIAU,Magnolia grandiflora,"Magnolia, Southern",,Magnolia,grandiflora,Large Tree,4/13/2015
a1iG00000040ByKIAU,Magnolia kobus,"Magnolia, Kobus",,Magnolia,kobus,,4/13/2015
a1iG00000040ByLIAU,Magnolia x soulangeana,"Magnolia, Saucer",,Magnolia,x soulangeana,,4/13/2015
a1iG00000040ByMIAU,Magnolia stellata,"Magnolia, Star",,Magnolia,stellata,,4/13/2015
a1iG00000040ByNIAU,Magnolia stellata - Royal Star,"Magnolia, Star Royal Star",Royal Star,Magnolia,stellata,,4/13/2015
a1iG00000040ByOIAU,Magnolia virginiana,"Magnolia, Sweetbay",,Magnolia,virginiana,Small Tree,4/13/2015
a1iG00000040ByPIAU,Magnolia virginiana - Moonglow,"Magnolia, Sweetbay Moonglow",Moonglow,Magnolia,virginiana,Small Tree,4/13/2015
a1iG00000040ByQIAU,Magnolia x loebneri - Merrill,"Magnolia, Loebner Merrill",Merrill,Magnolia,x loebneri,,4/13/2015
a1iG00000040ByRIAU,Malus speciosa,Crabapple,,Malus,speciosa,,4/13/2015
a1iG00000040BySIAU,Malus speciosa - Adirondack,"Crabapple, Flowering Adirondack",Adirondack,Malus,speciosa,,4/13/2015
a1iG00000040ByTIAU,Malus angustifolia,"Crabapple, Southern",,Malus,angustifolia,,4/13/2015
a1iG00000040ByUIAU,Malus domestica,Apple,,Malus,domestica,,4/13/2015
a1iG00000040ByVIAU,Malus hybrida,"Crabapple, Profusion Flowering",,Malus,hybrida,,4/13/2015
a1iG00000040ByWIAU,Malus speciosa - Robinson,"Crabapple, Flowering Robinson",Robinson,Malus,speciosa,,4/13/2015
a1iG00000040ByXIAU,Malus sargentii,"Crabapple, Sargent",,Malus,Sargentii,,4/13/2015
a1iG00000040ByYIAU,Malus speciosa - Sutyzam,"Crabapple, Flowering Sugar Tyme",Sutyzam,Malus,speciosa,,4/13/2015
a1iG00000040ByaIAE,Acer buergerianum,"Maple, Trident",,Acer,buergerianum,,4/13/2015
