genus_species,crm_tree_id,scientific_name,common_name,size,priority,,,,,,,,,,,,,,
Abies concolor,a0o1I000001VWDnQAO,Abies concolor,"Fir, White",Large Tree,FALSE,,,,,,,,,,,,,,
Acer buergerianum,a0o1I000001VW8HQAW,Acer buergerianum,"Maple, Trident",Small Tree,FALSE,,,,,,,,,,,,,,
Acer campestre,a0o1I000001VW8IQAW,Acer campestre - Queen Elizabeth,"Maple, Hedge Queen Elizabeth",Medium Tree,FALSE,,,,,,,,,,,,,,
Acer ginnala,a0o1I000001VW8JQAW,Acer ginnala,"Maple, Amur",Small Tree,FALSE,,,,,,,,,,,,,,
Acer griseum,a0o1I000001VW8KQAW,Acer griseum,"Maple, Paperbark",Small Tree,FALSE,,,,,,,,,,,,,,
Acer miyabei,a0o1I000001VW8LQAW,Acer miyabei - State Street,"Maple, Miyabe State Street",Small Tree,FALSE,,,,,,,,,,,,,,
Acer negundo,a0o1I000001VWEmQAO,Acer negundo - Sensation,"Maple, Box Elder Sensation",Small Tree,FALSE,,,,,,,,,,,,,,
Acer palmatum,a0o1I000001VW8MQAW,Acer palmatum,"Maple, Japanese",Small Tree,FALSE,,,,,,,,,,,,,,
Acer platanoides,a0o1I000001VW8NQAW,Acer platanoides,"Maple, Norway",Large Tree,FALSE,,,,,,,,,,,,,,
Acer rubrum,a0o1I000001VW8OQAW,Acer rubrum,"Maple, Red",Medium Tree,TRUE,,,,,,,,,,,,,,
Acer rubrum,a0o1I000001VW8PQAW,Acer rubrum - Armstrong,"Maple, Red Armstrong",Medium Tree,TRUE,,,,,,,,,,,,,,
Acer rubrum,a0o1I000001VW8QQAW,Acer rubrum - Autumn Radiance,"Maple, Red Autumn Radiance",Medium Tree,TRUE,,,,,,,,,,,,,,
Acer rubrum,a0o1I000001VW8SQAW,Acer rubrum - Karpick,"Maple, Red Karpick",Medium Tree,TRUE,,,,,,,,,,,,,,
Acer rubrum,a0o1I000001VW8TQAW,Acer rubrum - Northwood,"Maple, Red Northwood",Medium Tree,TRUE,,,,,,,,,,,,,,
Acer rubrum,a0o1I000001VW8UQAW,Acer rubrum - October Glory,"Maple, Red October Glory",Medium Tree,TRUE,,,,,,,,,,,,,,
Acer rubrum,a0o1I000001VW8VQAW,Acer rubrum - Redpointe,"Maple, Red Redpointe",Medium Tree,TRUE,,,,,,,,,,,,,,
Acer rubrum,a0o1I000001VW8WQAW,Acer rubrum - Sun Valley,"Maple, Red Sun Valley",Medium Tree,TRUE,,,,,,,,,,,,,,
Acer rubrum,a0o1I000001VWCRQA4,Acer rubrum - Red Sunset,"Maple, Red Red Sunset",Medium Tree,TRUE,,,,,,,,,,,,,,
Acer saccharinum,a0o1I000001VW8XQAW,Acer saccharinum,"Maple, Silver",Large Tree,FALSE,,,,,,,,,,,,,,
Acer saccharum,a0o1I000001VWDyQAO,Acer saccharum - Legacy,"Maple, Sugar Legacy",Large Tree,FALSE,,,,,,,,,,,,,,
Acer saccharum,a0o1I000001VW8RQAW,Acer saccharum - Flashfire,"Maple, Sugar Flashfire",Large Tree,FALSE,,,,,,,,,,,,,,
Acer saccharum,a0o1I000001VW8YQAW,Acer saccharum,"Maple, Sugar",Large Tree,FALSE,,,,,,,,,,,,,,
Acer saccharum,a0o1I000001VW8ZQAW,Acer saccharum - Autumn Splendor,"Maple, Sugar Autumn Splendor",Large Tree,FALSE,,,,,,,,,,,,,,
