"Tree Record: Tree Record Number","Quantity","Tree Species: Mature Tree Size","Tree Species: Tree Species Name","Campaign Name"
"CRM Tree #190000845","1","Large Tree","Catalpa speciosa","2018-09-01 Residential Plantings Fall 2018 Batch 1"
"CRM Tree #190007615","1","Large Tree","Catalpa speciosa","2018-09-01 Residential Plantings Fall 2018 Batch 1"
"CRM Tree #190007603","1","Large Tree","Catalpa speciosa","2018-09-01 Residential Plantings Fall 2018 Batch 1"
"CRM Tree #190007163","1","Large Tree","Catalpa speciosa","2019-03-01 Residential Plantings Spring 2019 Batch"
"CRM Tree #190008405","2","Large Tree","Catalpa speciosa","2019-03-18 Anne Beers Tree Planting"
"CRM Tree #190008478","5","Large Tree","Catalpa speciosa","2019-04-27 Henson Ridge Townhomes"
"CRM Tree #190008524","1","Large Tree","Catalpa speciosa","2019-06-10 Langdon Recreation Center [Crew Only]"
"CRM Tree #190008329","7","Large Tree","Catalpa speciosa","2019-06-15 Mount Olivet Memorial Hill CTP"
"CRM Tree #190008765","3","Large Tree","Cryptomeria japonica - Radicans","2019-03-27 Chevy Chase"
"CRM Tree #190008276","2","Large Tree","Cryptomeria japonica - Radicans","2019-05-04 Congressional Cemetery CTP"
"CRM Tree #190007424","1","Large Tree","Fagus grandifolia","2018-09-01 Residential Plantings Fall 2018 Batch 1"
"CRM Tree #190007539","1","Large Tree","Fagus grandifolia","2018-09-01 Residential Plantings Fall 2018 Batch 1"
"CRM Tree #190007545","1","Large Tree","Fagus grandifolia","2018-09-01 Residential Plantings Fall 2018 Batch 1"
"CRM Tree #190007596","1","Large Tree","Fagus grandifolia","2018-09-01 Residential Plantings Fall 2018 Batch 1"
"CRM Tree #190009113","1","Large Tree","Fagus grandifolia","2019-03-01 Residential Plantings Spring 2019 Batch"
"CRM Tree #190007241","1","Large Tree","Fagus grandifolia","2019-03-01 Residential Plantings Spring 2019 Batch"
"CRM Tree #190000591","1","Large Tree","Ginkgo biloba","2018-11-25 Eagle Academy School Tree Planting"
