"Tree Record: Tree Record Number","Quantity","Tree Species: Mature Tree Size","Tree Species: Tree Species Name","Campaign Name"
"CRM Tree #190005472","1","","Abies concolor","2016-04-09 Dupont Commons HOA Community Tree Planting"
"CRM Tree #190005513","2","","Acer buergerianum","2016-03-12 Rock Creek Cemetery Community Tree Planting"
"CRM Tree #190003978","2","","Acer saccharinum","2017-03-18 Fort Totten Drive Community Tree Planting"
"CRM Tree #190009881","1","","Acer saccharinum","2019-12-16 NAMA"
"CRM Tree #190004221","2","","Acer saccharum - Autumn Splendor","2017-01-03 Anacostia ROW DDOT Crew Only"
"CRM Tree #190003684","4","","Acer saccharum - Autumn Splendor","2017-05-03 SW BID Trees (Reservation 197) Crew Only"
"CRM Tree #190004244","1","","Acer saccharum - Flashfire","2017-01-06 River Terrace ROW DDOT Crew Only"
"CRM Tree #190004017","2","","Acer saccharum - Flashfire","2017-03-04 American University Community Tree Planting"
"CRM Tree #190003875","1","","Acer saccharum - Flashfire","2017-03-29 Friendship Technology Preparatory Academy PCS School Tree Planting"
"CRM Tree #190002881","3","","Acer saccharum - Flashfire","2017-12-16 Emery Recreation Center Community Tree Planting"
"CRM Tree #190003090","2","","Acer saccharum - Flashfire","2017-12-16 Emery Recreation Center Community Tree Planting"
"CRM Tree #190002721","1","","Acer saccharum - Flashfire","2018-03-20 Residential Plantings Spring Batch 1"
"CRM Tree #190002280","1","","Acer saccharum - Flashfire","2018-04-14 Rock Creek Cemetery"
"CRM Tree #190002281","1","","Acer saccharum - Flashfire","2018-04-14 Rock Creek Cemetery"
"CRM Tree #190002282","1","","Acer saccharum - Flashfire","2018-04-14 Rock Creek Cemetery"
"CRM Tree #190002283","1","","Acer saccharum - Flashfire","2018-04-14 Rock Creek Cemetery"
"CRM Tree #190001751","1","","Acer saccharum - Flashfire","2018-05-19 Suitland Parkway CTP"
"CRM Tree #190001752","1","","Acer saccharum - Flashfire","2018-05-19 Suitland Parkway CTP"
"CRM Tree #190001753","1","","Acer saccharum - Flashfire","2018-05-19 Suitland Parkway CTP"
"CRM Tree #190001549","1","","Acer saccharum - Flashfire","2018-05-24 Franciscan Monastery Crew Only"
"CRM Tree #190001550","1","","Acer saccharum - Flashfire","2018-05-24 Franciscan Monastery Crew Only"
"CRM Tree #190001261","1","","Acer saccharum - Flashfire","2018-06-01 ELAG: Simon Elementary School (Tree Planting)"
"CRM Tree #190001212","1","","Acer saccharum - Flashfire","2018-06-06 ELAG: Lafayette Elementary School (Tree Planting)"
"CRM Tree #190009876","3","","Acer saccharum - Flashfire","2019-12-16 NAMA"
"CRM Tree #190009202","2","","Acer saccharum - Flashfire","2019-12-16 NAMA"
"CRM Tree #190004274","1","","Acer saccharum - John Pair","2016-12-22 Benning Terrace Crew Only"
"CRM Tree #190004018","2","","Acer saccharum - John Pair","2017-03-04 American University Community Tree Planting"
"CRM Tree #190003894","2","","Acer saccharum - John Pair","2017-03-09 KIPP DC Heights Academy School Tree Planting"
"CRM Tree #190004799","1","","Acer saccharum - Legacy","2016-10-15 The Kreeger Museum Community Tree Planting"
"CRM Tree #190003513","1","","Acer saccharum - Legacy","2017-04-25 THEARC Farm Community Tree Planting"
"CRM Tree #190003063","4","","Aesculus octandra","2018-01-16 Marvin Gaye Park [CREW ONLY]"
"CRM Tree #190002216","1","","Aesculus octandra","2018-03-30 Johnson Middle School CTP"
"CRM Tree #190002355","1","","Aesculus octandra","2018-03-31 Eastern High School Community Tree Planting"
"CRM Tree #190002356","1","","Aesculus octandra","2018-03-31 Eastern High School Community Tree Planting"
"CRM Tree #190002142","1","","Aesculus octandra","2018-04-20 Loomis Park CTP"
"CRM Tree #190002077","1","","Aesculus pavia","2018-04-14 Rock Creek Cemetery"
"CRM Tree #190002078","1","","Aesculus pavia","2018-04-14 Rock Creek Cemetery"
"CRM Tree #190008287","2","","Aesculus x carnea - Fort McNair","2019-05-31 Palisades Rec Center CTP"
"CRM Tree #190008604","1","","Aesculus x carnea - Fort McNair","2019-06-10 Langdon Recreation Center [Crew Only]"
"CRM Tree #190005506","2","","Alnus serrulata","2016-04-14 National Capital Hebrew Cemetery Community Tree Planting"
"CRM Tree #190003809","3","","Alnus serrulata","2017-04-06 Hearst Elementary School Part 2 Crew Only"
"CRM Tree #190003744","7","","Alnus serrulata","2017-05-05 Suitland Parkway Part 3 Community Tree Planting"
"CRM Tree #190008049","14","","Alnus serrulata","2019-04-01 Normanstone Mk. II"
"CRM Tree #190003110","7","","Amorpha fruticosa","2017-10-27 McGill Row Crew Only"
"CRM Tree #190003716","13","","Aronia (Photinia) melanocarpa","2017-03-11 Dumbarton Oaks Park Conservancy Community Tree Planting"
"CRM Tree #190003620","4","","Aronia (Photinia) melanocarpa","2017-05-04 SW BID Trees (Maine Ave Embankment) Crew Only"
"CRM Tree #190003522","5","","Aronia (Photinia) melanocarpa","2017-05-13 120 Coded Trees for CFs and CT Staff Crew Only"
"CRM Tree #190003232","3","","Aronia (Photinia) melanocarpa","2017-12-09 Tregaron Conservancy Community Tree Planting"
"CRM Tree #190006768","6","","Aronia arbutifolia","2015-11-07 Dumbarton Oaks Park Conservancy Community Tree Planting"
"CRM Tree #190003807","3","","Aronia arbutifolia","2017-04-06 Hearst Elementary School Part 2 Crew Only"
"CRM Tree #190003630","6","","Aronia arbutifolia","2017-05-04 SW BID Trees (Maine Ave Embankment) Crew Only"
"CRM Tree #190003631","8","","Aronia arbutifolia","2017-05-13 120 Coded Trees for CFs and CT Staff Crew Only"
"CRM Tree #190001812","1","","Baccharis halimifolia","2018-04-28 Kenilworth Aquatic Gardens CTP"
"CRM Tree #190001813","1","","Baccharis halimifolia","2018-04-28 Kenilworth Aquatic Gardens CTP"
"CRM Tree #190001814","1","","Baccharis halimifolia","2018-04-28 Kenilworth Aquatic Gardens CTP"
"CRM Tree #190001815","1","","Baccharis halimifolia","2018-04-28 Kenilworth Aquatic Gardens CTP"
