SciName,Year
Acer ginnala - Flame,4014.0
Acer rubrum 'Autumn Flame',8072.0
Aesculus parvia,4036.0
Aesculus x carnea - Briotii,2015.0
Amelanchier x grandiflora - Robin Hill,2008.0
Carpinus betulus - Frans Fontaine,4028.0
Carpinus caroliniana - Palisade,20110.0
Carya illinoinensis - Kanza,2012.0
Carya x laneyi,8060.0
Cedrus deodara - Bill's Blue,6042.0
Cedrus deodara - Gold Cone,2015.0
Cedrus deodara - Kashmir,2015.0
Cercis canadensis - Lavender Twist,6033.0
Cercis canadensis - Royal White,2008.0
Chamaecyparis obtusa - Gracilis,4030.0
Cornus florida - Karen's Appalachian Blush,4036.0
Cornus x rutgeriensis 'Constellation',60570.0
Cotinus coggygria - Purpurea,4016.0
Cotinus coggygria - Royal Purple,2013.0
Cotinus coggygria x obovatus - Grace,32288.0
Crataegus coccinioides - Ashe,10062.0
Cryptomeria japonica - Yoshino,2008.0
Diospyros kaki - Hana Gosho,2013.0
Diospyros kaki - Maekawa Jiro,4022.0
Diospyros kaki - Matsumoto Wase Fuyu,2013.0
Diospyros kaki - Saijo,22131.0
Diospyros kaki x virginiana - Rosseyanka,2014.0
Diospyros virginiana x kaki 'Nikita's Gift',12108.0
Ficus carica - Violette de Bordeaux,4024.0
Fraxinus americana,0.0
Gleditsia triacanthos var. inermis,8033.0
Ilex 'Robin',38342.0
Ilex x aquipernyi - Dragon Lady,10030.0
Juniperus chinensis 'Blue Point',6054.0
Juniperus virginiana 'Glauca',6054.0
Juniperus virginiana 'Taylor',32304.0
Lagerstroemia indica 'Sarah's Favorite',22209.0
Lagerstroemia indica - Tuscarora,20180.0
Lagerstroemia indica x fauriei - Miami,4010.0
Lagerstroemia indica x fauriei - Tonto,4032.0
Liquidambar styraciflua - Cherokee,4012.0
Magnolia acuminata x denudata - Butterflies,14054.0
Magnolia grandiflora - Alta,14035.0
Magnolia liliiflora x sprengeri - Galaxy,62146.0
Magnolia speciosa,14043.0
Malus 'William's Pride',8072.0
Malus domestica - Arkansas Black,8050.0
Malus domestica - Arkansas Black Spur,10087.0
Malus domestica - Crimson Gold,2009.0
Malus domestica - Eddie April,12072.0
Malus domestica - Honeycrisp,2014.0
Malus speciosa - Liberty,2017.0
Malus tschonoskii,6054.0
Malus x zumi - Calocarpa,26194.0
No Tree,20117.0
Parrotia persica - Vanessa,4034.0
Picea speciosa,2014.0
Pinus pungens,100800.0
Pinus speciosa,2007.0
Pinus thunbergii,2005.0
Prunus americana - Geraldine,2012.0
Prunus avium 'Sweetheart',6054.0
Prunus avium - Black York,8048.0
Prunus domestica - AU Rosa,4024.0
Prunus domestica - Damson,4028.0
Prunus domestica - Greengage,2014.0
Prunus dulcis - Hall's Hardy,6036.0
Prunus maritima - Rutgers,2014.0
Prunus persica 'Bonfire',4036.0
Prunus persica - Early Loring Blair,4018.0
Prunus persica - Elberta,2013.0
Prunus persica - Fantasia,6027.0
Prunus persica - John Boy,2009.0
Prunus persica - Manon,2009.0
Prunus persica - Red Haven Dwarf,2009.0
Prunus speciosa,14049.0
Pseudolarix amabilis,10090.0
Pyrus communis - Honeysweet ,4028.0
Pyrus pyrifolia - Shin Li,2016.0
Quercus robur x bicolor - Regal Prince,66526.0
Quercus speciosa,28070.0
Taxus speciosa,2010.0
Ulmus parvifolia - Allee,44223.0
Ulmus parvifolia - Dynasty,30180.0
Ulmus parvifolia - Everclear,8057.0
Unknown,6020.0
X Cuprocyparis leylandii,6042.0
Zelkova serrata 'Green Vase',10095.0
Ziziphus jujube - Tigertooth,4025.0
